[2026-08-02T23:20:55.873Z] harvester started — universe: BTC, ETH, HYPE, SOL, PAXG, KAITO, XRP, DOGE
(node:86134) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
[2026-08-02T23:20:56.723Z] connected, watching 8 assets
[2026-08-03T00:06:56.666Z] addresses 2922 (2780 polled) | open 17918 | changes logged 36672 | closures 254 | polls 6441 | reconnects 0
[2026-08-03T00:07:56.698Z] addresses 2978 (2924 polled) | open 18198 | changes logged 36952 | closures 254 | polls 6585 | reconnects 0
[2026-08-03T00:08:56.738Z] addresses 3024 (3020 polled) | open 18982 | changes logged 38315 | closures 262 | polls 6718 | reconnects 0
[2026-08-03T00:09:56.767Z] addresses 3063 (3059 polled) | open 19228 | changes logged 38977 | closures 271 | polls 6858 | reconnects 0
[2026-08-03T00:10:56.802Z] addresses 3121 (3111 polled) | open 19892 | changes logged 39897 | closures 280 | polls 6999 | reconnects 0
[2026-08-03T00:11:56.860Z] addresses 3172 (3164 polled) | open 20557 | changes logged 40823 | closures 291 | polls 7139 | reconnects 0
[2026-08-03T00:12:56.897Z] addresses 3211 (3209 polled) | open 20767 | changes logged 41340 | closures 315 | polls 7283 | reconnects 0
[2026-08-03T00:13:56.934Z] addresses 3243 (3242 polled) | open 21176 | changes logged 42190 | closures 321 | polls 7409 | reconnects 0
[2026-08-03T00:14:56.977Z] addresses 3275 (3267 polled) | open 21353 | changes logged 43522 | closures 332 | polls 7544 | reconnects 0
[2026-08-03T00:15:57.018Z] addresses 3320 (3318 polled) | open 21509 | changes logged 44210 | closures 347 | polls 7683 | reconnects 0
[2026-08-03T00:16:57.053Z] addresses 3350 (3346 polled) | open 21665 | changes logged 45066 | closures 365 | polls 7817 | reconnects 0
[2026-08-03T00:17:57.086Z] addresses 3374 (3372 polled) | open 21949 | changes logged 46023 | closures 376 | polls 7950 | reconnects 0
[2026-08-03T00:18:57.122Z] addresses 3405 (3401 polled) | open 22133 | changes logged 46581 | closures 390 | polls 8093 | reconnects 0
[2026-08-03T00:19:57.166Z] addresses 3434 (3432 polled) | open 22392 | changes logged 47319 | closures 408 | polls 8228 | reconnects 0
[2026-08-03T00:20:57.207Z] addresses 3466 (3463 polled) | open 22584 | changes logged 47852 | closures 426 | polls 8358 | reconnects 0
[2026-08-03T00:21:57.244Z] addresses 3498 (3493 polled) | open 22742 | changes logged 48687 | closures 452 | polls 8482 | reconnects 0
[2026-08-03T00:22:57.257Z] addresses 3541 (3520 polled) | open 22836 | changes logged 49338 | closures 473 | polls 8622 | reconnects 0
[2026-08-03T00:23:57.273Z] addresses 3541 (3541 polled) | open 22976 | changes logged 49529 | closures 474 | polls 8657 | reconnects 0
[2026-08-03T00:24:57.314Z] addresses 3541 (3541 polled) | open 22972 | changes logged 50286 | closures 504 | polls 8800 | reconnects 0
[2026-08-03T00:25:57.347Z] addresses 3541 (3541 polled) | open 22972 | changes logged 50773 | closures 524 | polls 8938 | reconnects 0
[2026-08-03T00:26:57.324Z] addresses 3541 (3541 polled) | open 22980 | changes logged 51170 | closures 536 | polls 9076 | reconnects 0
[2026-08-03T00:27:57.352Z] addresses 3541 (3541 polled) | open 22955 | changes logged 51686 | closures 580 | polls 9223 | reconnects 0
[2026-08-03T00:28:57.391Z] addresses 3541 (3541 polled) | open 22984 | changes logged 52336 | closures 597 | polls 9365 | reconnects 0
[2026-08-03T00:29:57.425Z] addresses 3541 (3541 polled) | open 22957 | changes logged 53079 | closures 655 | polls 9495 | reconnects 0
[2026-08-03T00:30:57.471Z] addresses 3541 (3541 polled) | open 22963 | changes logged 53657 | closures 692 | polls 9628 | reconnects 0
[2026-08-03T00:31:57.510Z] addresses 3541 (3541 polled) | open 22976 | changes logged 54263 | closures 706 | polls 9773 | reconnects 0
[2026-08-03T00:32:57.550Z] addresses 3541 (3541 polled) | open 22976 | changes logged 54594 | closures 736 | polls 9914 | reconnects 0
[2026-08-03T00:33:57.591Z] addresses 3541 (3541 polled) | open 22992 | changes logged 54711 | closures 744 | polls 10059 | reconnects 0
[2026-08-03T00:34:57.631Z] addresses 3541 (3541 polled) | open 23053 | changes logged 55224 | closures 772 | polls 10200 | reconnects 0
[2026-08-03T00:35:57.674Z] addresses 3541 (3541 polled) | open 23045 | changes logged 56334 | closures 828 | polls 10332 | reconnects 0
[2026-08-03T00:36:57.725Z] addresses 3541 (3541 polled) | open 23043 | changes logged 56596 | closures 851 | polls 10472 | reconnects 0
[2026-08-03T00:37:57.762Z] addresses 3541 (3541 polled) | open 23057 | changes logged 57450 | closures 899 | polls 10608 | reconnects 0
[2026-08-03T00:38:13.004Z] socket closed, reconnecting in 2s
[2026-08-03T00:38:15.832Z] connected, watching 8 assets
[2026-08-03T00:38:57.803Z] addresses 3595 (3594 polled) | open 23365 | changes logged 58138 | closures 914 | polls 10751 | reconnects 1
[2026-08-03T00:39:57.848Z] addresses 3631 (3628 polled) | open 23486 | changes logged 58490 | closures 935 | polls 10892 | reconnects 1
[2026-08-03T00:40:57.887Z] addresses 3659 (3655 polled) | open 23730 | changes logged 59313 | closures 947 | polls 11035 | reconnects 1
[2026-08-03T00:41:57.935Z] addresses 3684 (3680 polled) | open 23871 | changes logged 60269 | closures 962 | polls 11176 | reconnects 1
[2026-08-03T00:42:57.985Z] addresses 3710 (3709 polled) | open 24019 | changes logged 61129 | closures 974 | polls 11317 | reconnects 1
[2026-08-03T00:43:58.069Z] addresses 3729 (3723 polled) | open 24074 | changes logged 61533 | closures 997 | polls 11458 | reconnects 1
[2026-08-03T00:44:58.116Z] addresses 3756 (3755 polled) | open 24235 | changes logged 62188 | closures 1020 | polls 11600 | reconnects 1
[2026-08-03T00:45:58.163Z] addresses 3783 (3779 polled) | open 24397 | changes logged 63137 | closures 1048 | polls 11736 | reconnects 1
[2026-08-03T00:46:58.200Z] addresses 3821 (3813 polled) | open 24697 | changes logged 63799 | closures 1072 | polls 11873 | reconnects 1
[2026-08-03T00:47:58.248Z] addresses 3855 (3853 polled) | open 24955 | changes logged 64463 | closures 1082 | polls 12015 | reconnects 1
[2026-08-03T00:48:58.300Z] addresses 3874 (3873 polled) | open 24983 | changes logged 64903 | closures 1096 | polls 12152 | reconnects 1
[2026-08-03T00:49:58.337Z] addresses 3886 (3884 polled) | open 25016 | changes logged 65484 | closures 1124 | polls 12296 | reconnects 1
[2026-08-03T00:50:58.385Z] addresses 3920 (3919 polled) | open 25131 | changes logged 65875 | closures 1141 | polls 12440 | reconnects 1
[2026-08-03T00:51:58.438Z] addresses 3941 (3937 polled) | open 25238 | changes logged 66537 | closures 1157 | polls 12580 | reconnects 1
[2026-08-03T00:52:58.484Z] addresses 3951 (3951 polled) | open 25291 | changes logged 67101 | closures 1169 | polls 12722 | reconnects 1
[2026-08-03T00:53:25.326Z] socket closed, reconnecting in 2s
[2026-08-03T00:53:28.246Z] connected, watching 8 assets
[2026-08-03T00:53:58.531Z] addresses 3967 (3967 polled) | open 25345 | changes logged 67632 | closures 1193 | polls 12862 | reconnects 2
[2026-08-03T00:54:58.588Z] addresses 3984 (3983 polled) | open 25366 | changes logged 67927 | closures 1212 | polls 13012 | reconnects 2
[2026-08-03T00:55:58.640Z] addresses 3995 (3994 polled) | open 25380 | changes logged 68268 | closures 1221 | polls 13157 | reconnects 2
[2026-08-03T00:56:58.697Z] addresses 4008 (4008 polled) | open 25412 | changes logged 68858 | closures 1224 | polls 13296 | reconnects 2
[2026-08-03T00:57:58.749Z] addresses 4021 (4019 polled) | open 25446 | changes logged 69509 | closures 1230 | polls 13437 | reconnects 2
[2026-08-03T00:58:58.804Z] addresses 4042 (4041 polled) | open 25484 | changes logged 70016 | closures 1236 | polls 13572 | reconnects 2
[2026-08-03T00:59:58.901Z] addresses 4060 (4060 polled) | open 25580 | changes logged 70540 | closures 1247 | polls 13714 | reconnects 2
[2026-08-03T01:00:58.964Z] addresses 4146 (4141 polled) | open 25767 | changes logged 71089 | closures 1253 | polls 13853 | reconnects 2
